element,weight
H,1.00782503223
He,4.00260325413
Li,7.0160034366
Be,9.012183065
B,11.00930536
C,12.0000000
C,14.0032419884
N,14.00307400443
O,15.99491461957
F,18.99840316273
Ne,19.9924401762
Na,22.9897692820
Mg,23.985041697
Al,26.98153853
Si,27.97692653465
P,30.97376199842
S,31.9720711744
Cl,34.968852682
Ar,39.9623831237
K,38.9637064864
Ca,39.962590863
Sc,44.95590828
Ti,47.94794198
V,50.94395704
Cr,51.94050623
Mn,54.93804391
Fe,55.93493633
Co,58.93319429
Ni,57.93534241
Cu,62.92959772
Ga,68.9255735
As,74.92159457
Br,78.9183376
Kr,83.9114977282
Rb,84.9117897379
Sr,87.9056125
Y,88.9058403
Zr,89.9046977
Nb,92.9063730
Tc,96.9063667
Tc,97.9072124
Tc,98.9062508
Rh,102.9054980
Ag,106.9050916
In,114.903878776
Sn,119.90220163
Sb,120.9038120
Te,129.906222748
I,126.9044719
Xe,131.9041550856
Cs,132.9054519610
Ba,137.90524700
La,138.9063563
Ce,139.9054431
Pr,140.9076576
Nd,141.9077290
Eu,
Tb,
Ho,
Tm,
Lu,
Ta,
Re,
Ir,
Au,
Tl,
Pb,
Bi,
Th,
Pa,
